EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DAT,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID,Unnamed: 11
108,Nancy,Greenberg,NGREENBE,515.124.4569,17/08/94,FI_MGR,12000,,101.0,100.0,
114,Den,Raphaely,DRAPHEAL,515.127.4561,07/12/94,PU_MAN,11000,,100.0,30.0,
145,John,Russell,JRUSSEL,011.44.1344.429268,01/10/96,SA_MAN,14000,0.4,100.0,80.0,
146,Karen,Partners,KPARTNER,011.44.1344.467268,05/01/97,SA_MAN,13500,0.3,100.0,80.0,
147,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,10/03/97,SA_MAN,12000,0.3,100.0,80.0,
148,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,15/10/99,SA_MAN,11000,0.3,100.0,80.0,
149,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,29/01/00,SA_MAN,10500,0.2,100.0,80.0,
150,Peter,Tucker,PTUCKER,011.44.1344.129268,30/01/97,SA_REP,10000,0.3,145.0,80.0,
156,Janette,King,JKING,011.44.1345.429268,30/01/96,SA_REP,10000,0.35,146.0,80.0,
162,Clara,Vishney,CVISHNEY,011.44.1346.129268,11/11/97,SA_REP,10500,0.25,147.0,80.0,
168,Lisa,Ozer,LOZER,011.44.1343.929268,11/03/97,SA_REP,11500,0.25,148.0,80.0,
169,Harrison,Bloom,HBLOOM,011.44.1343.829268,23/03/98,SA_REP,10000,0.2,148.0,80.0,
174,Ellen,Abel,EABEL,011.44.1644.429267,11/05/96,SA_REP,11000,0.3,149.0,80.0,
201,Michael,Hartstein,MHARTSTE,515.123.5555,17/02/96,MK_MAN,13000,,100.0,20.0,
204,Hermann,Baer,HBAER,515.123.8888,07/06/94,PR_REP,10000,,101.0,70.0,
205,Shelley,Higgins,SHIGGINS,515.123.8080,07/06/94,AC_MGR,12000,,101.0,110.0,
